Job_N,Model_FU.,Empirical_FU.,App.Cry.str.,Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_V)[GPa],Shear(G_V)[GPa],Young(E_V)[GPa],Bulk(B_R)[GPa],Shear(G_R)[GPa],Young(E_R)[GPa],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Hv:Polycrystalline,Hv:Single-crystal,F.Toughness(MPam1/2),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B],D/B:,N-Cauchy_P.[GPa],D/B:,Born's_Stability,A(U):Universal_Anisotropy,A(B):Percent_Bulk_Anisotropy,A(G):Percent_Shear_Anisotropy,A(Z):Zener_Anisotropy,A(1):Shear_Anisotropy,A(2):Shear_Anisotropy,A(3):Shear_Anisotropy,Lame's(Lammda)[GPa],Lame's(Mu)[GPa],V_trans[m/s],V_longi[m/s],V_mean[m/s],C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66
242_4225,C10Zr2Ta2Ti2Nb2Y2,ZrTiTaNbYC5,Orthorhombic,7.267025,7.294504,4.59634,243.6474,7.659,-193.3607,-0.502,-7.681,62.24,665.3,230.25,166.48,402.44,230.23,165.14,399.83,230.24,165.81,401.14,23.608,24.076,25.037,2.963814685,2463.75,2.7663,0.21,0.72,Brittle,37.08,Brittle,stable,0.0407,0,0.004,N_def.,0.8494,0.8515,0.9481,120.03,165.76,4654,7678,5143,467.3,114.9,111.76,0.02,-0.01,-12.13,114.9,467.97,105.88,0.02,-0.01,18.09,111.76,105.88,471.9,0.02,-0.01,-2.13,0.02,0.02,0.02,151.98,0.03,0,-0.01,-0.01,-0.01,0.03,154.99,0,-12.13,18.09,-2.13,0,0,167.21,0.0023739,-0.0004892,-0.0004514,-0.0000002,0.0000001,0.0002193,-0.0004892,0.0023625,-0.0004155,-0.0000002,0.0000001,-0.0002963,-0.0004514,-0.0004155,0.0023194,-0.0000002,0.0000001,0.0000417,-0.0000002,-0.0000002,-0.0000002,0.0065797,-0.0000015,0,0.0000001,0.0000001,0.0000001,-0.0000015,0.0064522,0,0.0002193,-0.0002963,0.0000417,0,0,0.0060289
242_4226,C10Zr2Ta2Ti2Nb2Mo2,ZrTiTaNbMoC5,Orthorhombic,7.0837,7.082073,4.466703,224.079442,8.432,-201.885932,-0.478,-7.854,65.88,704.3,277.68,196.44,476.87,277.11,189.85,463.67,277.39,193.15,470.27,25.307,25.453,29.166,3.462486533,2901.81,3.0161,0.217,0.696,Brittle,20.16,Brittle,stable,0.1756,0.001,0.0171,N_def.,0.7392,0.6861,0.9239,148.15,193.21,4786,7964,5293,530.53,153.28,114.73,0.01,0,-24.41,153.28,574.07,110.49,0.01,0,39.79,114.73,110.49,637.48,0.01,0,-3.92,0.01,0.01,0.01,173.44,1.8,0,0,0,0,1.8,169.91,0,-24.41,39.79,-3.92,0,0,184.32,0.0021202,-0.0005382,-0.0002859,-0.0000001,0,0.0003909,-0.0005382,0.001968,-0.0002473,-0.0000001,0,-0.0005014,-0.0002859,-0.0002473,0.0016633,-0.0000001,0,0.0000509,-0.0000001,-0.0000001,-0.0000001,0.0057663,-0.0000612,0,0,0,0,-0.0000612,0.0058862,0,0.0003909,-0.0005014,0.0000509,0,0,0.0055865
242_3760,C20Zr4Ta4Ti4Nb4Tc4,ZrTiTaNbTcC5,Orthorhombic,7.061134,7.079777,8.95141,447.490486,8.489,-398.241236,-0.399,-7.845,62.09,663.8,259.56,174.52,427.7,259.53,169.67,417.94,259.54,172.1,422.82,22.069,22.127,25.987,3.160675338,2736.01,4.5277,0.228,0.663,Brittle,14.93,Brittle,stable,0.143,0.0001,0.0141,N_def.,0.7428,0.7291,0.876,144.31,172.16,4503,7591,4987,520.51,141.36,112.92,-0.6,-3.16,-31.21,141.36,515.57,122.2,-2.84,0.12,26.23,112.92,122.2,546.99,-0.15,0.09,1.8,-0.6,-2.84,-0.15,156.29,0.22,-0.13,-3.16,0.12,0.09,0.22,149.12,1.16,-31.21,26.23,1.8,-0.13,1.16,164.99,0.0021701,-0.0005426,-0.0003284,-0.0000015,0.0000428,0.0005,-0.0005426,0.002201,-0.0003782,0.0000372,-0.0000097,-0.0004483,-0.0003284,-0.0003782,0.0019805,-0.0000063,-0.0000076,-0.0000236,-0.0000015,0.0000372,-0.0000063,0.006399,-0.0000095,-0.0000008,0.0000428,-0.0000097,-0.0000076,-0.0000095,0.0067074,-0.0000373,0.0005,-0.0004483,-0.0000236,-0.0000008,-0.0000373,0.0062273
242_4227,C10Zr2Ta2Ti2Nb2Ru2,ZrTiTaNbRuC5,Orthorhombic,7.056437,7.087408,4.469125,223.503131,8.53,-195.441389,-0.326,-7.786,59.8,639.3,261.92,163.57,406.16,260.2,155.82,389.68,261.06,159.7,397.92,19.11,18.901,24.115,3.053033438,2615.05,2.7616,0.246,0.612,Brittle,0.2,Brittle,stable,0.2553,0.0033,0.0243,N_def.,0.7106,0.6175,0.9151,154.65,159.68,4327,7454,4801,466.7,143.93,114.7,0.21,0,-26.71,143.93,520.61,139.35,0.33,0,40.24,114.7,139.35,573.97,0.23,0,-0.7,0.21,0.33,0.23,144.13,2.62,0.04,0,0,0,2.62,125.95,0,-26.71,40.24,-0.7,0.04,0,160.01,0.0024526,-0.0006319,-0.000336,-0.0000018,0,0.0005668,-0.0006319,0.0022611,-0.0004235,-0.0000033,0,-0.0006759,-0.000336,-0.0004235,0.0019123,-0.0000016,0,0.0000587,-0.0000018,-0.0000033,-0.0000016,0.0069408,-0.0001447,-0.0000014,0,0,0,-0.0001447,0.0079427,0,0.0005668,-0.0006759,0.0000587,-0.0000014,0,0.0065146
242_4228,C10Zr2Ta2Ti2Nb2Rh2,ZrTiTaNbRhC5,Monoclinic,7.051264,7.075135,4.510506,225.008808,8.5,-191.0449,-0.305,-7.649,57.88,618.8,254.08,154.71,385.83,252.83,144.1,363.28,253.45,149.41,374.55,17.487,17.181,22.561,2.912935721,2526.59,2.6715,0.254,0.59,Brittle,-0.61,Ductile,stable,0.3731,0.0025,0.0355,N_def.,N_def.,N_def.,N_def.,154.2,149.34,4194,7300,4658,455.47,144.33,115.56,0,-0.01,-33.42,144.33,524.44,124.79,0,-0.01,31.62,115.56,124.79,537.45,0,-0.01,-4.59,0,0,0,143.72,6.63,0,-0.01,-0.01,-0.01,6.63,102.34,0,-33.42,31.62,-4.59,0,0,149.95,0.0025521,-0.000651,-0.0003917,0,0.0000001,0.000694,-0.000651,0.0022138,-0.0003794,0,0.0000001,-0.0006235,-0.0003917,-0.0003794,0.0020334,0,0.0000001,0.000055,0,0,0,0.006979,-0.0004521,0,0.0000001,0.0000001,0.0000001,-0.0004521,0.0098003,0.0000001,0.000694,-0.0006235,0.000055,0,0.0000001,0.0069569
242_4229,C10Zr2Ta2Ti2Nb2Pd2,ZrTiTaNbPdC5,Monoclinic,7.04984,7.13302,4.540236,228.301968,8.429,-184.777265,-0.195,-7.317,55.08,588.8,241.56,138.06,347.89,240.38,132.3,335.36,240.97,135.18,341.63,15.383,14.943,20.412,2.708222362,2415.15,2.5366,0.264,0.561,Ductile,-0.5,Ductile,stable,0.2226,0.0024,0.0213,N_def.,N_def.,N_def.,N_def.,151.17,135.14,4005,7070,4454,450.15,140.51,115.84,0,0.01,-33.89,140.51,455.49,140.94,0,0.04,2.7,115.84,140.94,473.8,0,0.03,1.06,0,0,0,140.01,3.49,0,0.01,0.04,0.03,3.49,105.44,0.01,-33.89,2.7,1.06,0,0.01,117.45,0.0026018,-0.0006716,-0.0004381,0,0.0000002,0.0007701,-0.0006716,0.0025917,-0.0006062,0.0000001,-0.0000008,-0.000248,-0.0004381,-0.0006062,0.0023983,0,-0.0000004,-0.000134,0,0.0000001,0,0.0071482,-0.0002366,0.0000001,0.0000002,-0.0000008,-0.0000004,-0.0002366,0.0094921,-0.0000007,0.0007701,-0.000248,-0.000134,0.0000001,-0.0000007,0.0087437
242_11952,C10Zr2Ta2Ti2Nb2Ag2,ZrTiTaNbAgC5,Monoclinic,7.093518,7.334801,4.513419,234.784891,8.217,-176.336319,-0.023,-7.021,53.29,569.7,227.74,126.93,321.13,224.37,124.26,314.68,226.05,125.59,317.91,14.454,14.008,18.964,2.540113626,2273.69,2.4322,0.266,0.556,Ductile,2.74,Brittle,stable,0.1225,0.0075,0.0106,N_def.,N_def.,N_def.,N_def.,142.73,125.56,3911,6922,4350,405.23,130.03,126.39,0,0,-12.58,130.03,352.89,154.67,0,0,-10.81,126.39,154.67,469.33,0,0,4.78,0,0,0,132.77,2.16,0,0,0,0,2.16,122.24,0,-12.58,-10.81,4.78,0,0,107.52,0.0029041,-0.0008386,-0.0005086,-0.0000001,0,0.0002781,-0.0008386,0.00357,-0.0009537,0,0,0.0003032,-0.0005086,-0.0009537,0.0025847,0,0,-0.0002703,-0.0000001,0,0,0.0075339,-0.0001329,0,0,0,0,-0.0001329,0.0081829,0,0.0002781,0.0003032,-0.0002703,0,0,0.0093753
242_4231,C10Zr2Ta2Ti2Nb2Cd2,ZrTiTaNbCdC5,Orthorhombic,7.178363,7.358454,4.533162,239.449114,8.12,-172.451204,-0.025,-6.846,53.03,567,211.86,126.4,316.29,205.31,123.66,308.94,208.59,125.03,312.62,15.682,15.509,18.88,2.442592752,2235.8,2.3935,0.25,0.599,Brittle,23.55,Brittle,stable,0.1427,0.0157,0.011,N_def.,0.86,0.9795,0.8446,125.05,125.05,3924,6799,4357,398.16,106.1,126.66,0,0,-3.88,106.1,319.51,132.68,0,0,-18.2,126.66,132.68,458.21,0,0,-5.09,0,0,0,129.65,-3.47,0,0,0,0,-3.47,125.46,0,-3.88,-18.2,-5.09,0,0,106.73,0.0028904,-0.0007166,-0.000592,-0.0000001,0,-0.0000452,-0.0007166,0.0037687,-0.0008869,-0.0000001,0,0.0005743,-0.000592,-0.0008869,0.0026023,0,0,-0.0000487,-0.0000001,-0.0000001,0,0.0077189,0.0002133,0,0,0,0,0.0002133,0.0079768,0,-0.0000452,0.0005743,-0.0000487,0,0,0.0094632
229_20,C10Zr2Ta2Ti2Nb2Lu2,ZrTiTaNbLuC5,Orthorhombic,7.216841,7.242372,4.568871,238.800667,9.012,-190.729152,-0.569,-7.731,58.99,630.6,240.62,173.65,419.92,240.61,172.22,417.14,240.62,172.93,418.53,24.283,24.705,26.112,3.083911847,2553.84,2.6185,0.21,0.719,Brittle,37.21,Brittle,stable,0.0416,0,0.0041,N_def.,0.8387,0.8505,0.9533,125.24,172.95,4381,7231,4842,484.3,119.63,117.12,0.02,0.01,-15.66,119.63,488.03,110.9,0.05,0.01,14.95,117.12,110.9,497.96,0.05,0.02,0.08,0.02,0.05,0.05,156.84,0.1,-0.01,0.01,0.01,0.02,0.1,162.48,0.01,-15.66,14.95,0.08,-0.01,0.01,174.7,0.0022943,-0.0004711,-0.0004348,-0.0000001,-0.0000001,0.0002462,-0.0004711,0.002261,-0.0003927,-0.0000005,-0.0000001,-0.0002356,-0.0004348,-0.0003927,0.0021979,-0.0000004,-0.0000002,-0.0000064,-0.0000001,-0.0000005,-0.0000004,0.0063758,-0.000004,0.0000002,-0.0000001,-0.0000001,-0.0000002,-0.000004,0.0061548,-0.0000002,0.0002462,-0.0002356,-0.0000064,0.0000002,-0.0000002,0.0057665
229_24,C10Hf2Nb2Ta2Ti2Zr2,ZrHfTiTaNbC5,Orthorhombic,7.158596,7.152931,4.551021,233.034613,9.285,-203.99783,-0.685,-8.073,62.27,665.7,262.82,197.61,474.03,262.81,193.74,466.58,262.82,195.68,470.3,27.596,28.046,29.548,3.414555411,2848.56,2.7787,0.202,0.745,Brittle,44.25,Brittle,stable,0.0999,0,0.0099,N_def.,0.7982,0.7831,0.9124,132.61,195.63,4591,7510,5069,546.69,134.5,110.27,0.06,0.01,-29.7,134.5,553.02,103.25,0.06,0.01,31.68,110.27,103.25,569.66,0.07,0.01,-1.01,0.06,0.06,0.07,178.75,-0.81,0,0.01,0.01,0.01,-0.81,179.37,0,-29.7,31.68,-1.01,0,0,189.49,0.0020253,-0.0004574,-0.0003084,-0.0000004,-0.0000001,0.0003922,-0.0004574,0.0019939,-0.0002736,-0.0000004,-0.0000001,-0.0004065,-0.0003084,-0.0002736,0.0018647,-0.0000005,-0.0000001,0.0000073,-0.0000004,-0.0000004,-0.0000005,0.0055945,0.0000252,0,-0.0000001,-0.0000001,-0.0000001,0.0000252,0.0055751,0,0.0003922,-0.0004065,0.0000073,0,0,0.0054067
